session_id,paired_difference,backend
session_0_0_ibm_brisbane,0.0002040571626707162,ibm_brisbane
session_0_0_ibm_kyoto,0.0001469679677138429,ibm_kyoto
session_0_0_ibm_osaka,0.00014017677683945235,ibm_osaka
session_0_1_ibm_brisbane,0.00022158927576643465,ibm_brisbane
session_0_1_ibm_kyoto,9.473307390084003e-05,ibm_kyoto
session_0_1_ibm_osaka,0.00024393675269323808,ibm_osaka
session_0_2_ibm_brisbane,0.00010770144877941817,ibm_brisbane
session_0_2_ibm_kyoto,0.00010342464563779533,ibm_kyoto
session_0_2_ibm_osaka,0.00019982379337245921,ibm_osaka
session_0_3_ibm_brisbane,0.00017652536417397217,ibm_brisbane
session_0_3_ibm_kyoto,0.00015584591522645132,ibm_kyoto
session_0_3_ibm_osaka,0.0002966777808847908,ibm_osaka
session_0_4_ibm_brisbane,0.0003617432004403103,ibm_brisbane
session_0_4_ibm_kyoto,0.00019890549657234884,ibm_kyoto
session_0_4_ibm_osaka,0.0002637381056720251,ibm_osaka
session_0_5_ibm_brisbane,0.0003355767700026377,ibm_brisbane
session_0_5_ibm_kyoto,0.0001989644182658116,ibm_kyoto
session_0_5_ibm_osaka,0.00018661304050397962,ibm_osaka
session_10_0_ibm_brisbane,0.00018948546427028618,ibm_brisbane
session_10_0_ibm_kyoto,0.00013257529930608313,ibm_kyoto
session_10_0_ibm_osaka,0.00017223979395659302,ibm_osaka
session_10_1_ibm_brisbane,0.00019254413710391893,ibm_brisbane
session_10_1_ibm_kyoto,0.00010919264556048579,ibm_kyoto
session_10_1_ibm_osaka,0.0001930643605525047,ibm_osaka
session_10_2_ibm_brisbane,0.00019767844831840357,ibm_brisbane
session_10_2_ibm_kyoto,0.00016364907268855613,ibm_kyoto
session_10_2_ibm_osaka,0.00010525474534907404,ibm_osaka
session_10_3_ibm_brisbane,0.00027721095632380754,ibm_brisbane
session_10_3_ibm_kyoto,0.00014852584222559202,ibm_kyoto
session_10_3_ibm_osaka,0.00032242281883502436,ibm_osaka
session_10_4_ibm_brisbane,0.00020622954275514887,ibm_brisbane
session_10_4_ibm_kyoto,0.0002628678708957166,ibm_kyoto
session_10_4_ibm_osaka,0.00014964138743713196,ibm_osaka
session_10_5_ibm_brisbane,0.00042388401666527205,ibm_brisbane
session_10_5_ibm_kyoto,0.000161263438702423,ibm_kyoto
session_10_5_ibm_osaka,0.0005960447723541969,ibm_osaka
session_11_0_ibm_brisbane,0.00021142171775191172,ibm_brisbane
session_11_0_ibm_kyoto,7.933059591079302e-05,ibm_kyoto
session_11_0_ibm_osaka,0.00013018391887321788,ibm_osaka
session_11_1_ibm_brisbane,0.00028171020372992736,ibm_brisbane
session_11_1_ibm_kyoto,6.022613364599281e-05,ibm_kyoto
session_11_1_ibm_osaka,0.00020432721441589685,ibm_osaka
session_11_2_ibm_brisbane,0.0001364550706593448,ibm_brisbane
session_11_2_ibm_kyoto,0.00014194781087398034,ibm_kyoto
session_11_2_ibm_osaka,0.00018654527139645705,ibm_osaka
session_11_3_ibm_brisbane,0.0002784123135043781,ibm_brisbane
session_11_3_ibm_kyoto,0.00015049143482568397,ibm_kyoto
session_11_3_ibm_osaka,0.0002088094293442733,ibm_osaka
session_11_4_ibm_brisbane,0.000233998979132869,ibm_brisbane
session_11_4_ibm_kyoto,0.0001558927064013697,ibm_kyoto
session_11_4_ibm_osaka,0.0004588757297318007,ibm_osaka
session_11_5_ibm_brisbane,0.0002515002700147369,ibm_brisbane
session_11_5_ibm_kyoto,0.00035949266016790514,ibm_kyoto
session_11_5_ibm_osaka,0.00014531873265953517,ibm_osaka
session_12_0_ibm_brisbane,0.0002078693508151527,ibm_brisbane
session_12_0_ibm_kyoto,9.478676292045755e-05,ibm_kyoto
session_12_0_ibm_osaka,0.00013865382672910328,ibm_osaka
session_12_1_ibm_brisbane,0.00016852258276389622,ibm_brisbane
session_12_1_ibm_kyoto,0.00012670129617179545,ibm_kyoto
session_12_1_ibm_osaka,0.00020939238777154307,ibm_osaka
session_12_2_ibm_brisbane,0.0002479558488182678,ibm_brisbane
session_12_2_ibm_kyoto,0.00016175690773812033,ibm_kyoto
session_12_2_ibm_osaka,7.485729894754408e-05,ibm_osaka
session_12_3_ibm_brisbane,0.0004606152487615386,ibm_brisbane
session_12_3_ibm_kyoto,0.000263442262521571,ibm_kyoto
session_12_3_ibm_osaka,9.430150037968062e-05,ibm_osaka
session_12_4_ibm_brisbane,0.00016733285291167064,ibm_brisbane
session_12_4_ibm_kyoto,8.388878916163286e-05,ibm_kyoto
session_12_4_ibm_osaka,0.00025305650971437985,ibm_osaka
session_12_5_ibm_brisbane,0.0003833182652437717,ibm_brisbane
session_12_5_ibm_kyoto,0.00042378965439242256,ibm_kyoto
session_12_5_ibm_osaka,0.0002454444736634607,ibm_osaka
session_13_0_ibm_brisbane,0.00016341192435843872,ibm_brisbane
session_13_0_ibm_kyoto,9.529365998265533e-05,ibm_kyoto
session_13_0_ibm_osaka,8.263851244343776e-05,ibm_osaka
session_13_1_ibm_brisbane,0.00010172284323121719,ibm_brisbane
session_13_1_ibm_kyoto,3.3319566693678146e-05,ibm_kyoto
session_13_1_ibm_osaka,0.00028475388741526497,ibm_osaka
session_13_2_ibm_brisbane,0.00019933385891502176,ibm_brisbane
session_13_2_ibm_kyoto,9.073765889579808e-05,ibm_kyoto
session_13_2_ibm_osaka,0.00022848135593539487,ibm_osaka
session_13_3_ibm_brisbane,0.000243784362605502,ibm_brisbane
session_13_3_ibm_kyoto,0.00013615943536037013,ibm_kyoto
session_13_3_ibm_osaka,0.00030093473153814087,ibm_osaka
